"participant_id","Condition","Illusion_Type","Error","Color"
"sub-001","Baseline","Ebbinghaus",0.607142857142857,"Mindfulness"
"sub-001","Baseline","MullerLyer",0.547619047619048,"Mindfulness"
"sub-001","Baseline","VerticalHorizontal",0.619047619047619,"Mindfulness"
"sub-001","Mindfulness","Ebbinghaus",0.85,"Mindfulness"
"sub-001","Mindfulness","MullerLyer",0.575,"Mindfulness"
"sub-001","Mindfulness","VerticalHorizontal",0.6,"Mindfulness"
"sub-002","Baseline","Ebbinghaus",0.702380952380952,"Hypnosis"
"sub-002","Baseline","MullerLyer",0.619047619047619,"Hypnosis"
"sub-002","Baseline","VerticalHorizontal",0.619047619047619,"Hypnosis"
"sub-002","Hypnosis","Ebbinghaus",0.825,"Hypnosis"
"sub-002","Hypnosis","MullerLyer",0.625,"Hypnosis"
"sub-002","Hypnosis","VerticalHorizontal",0.6,"Hypnosis"
